_OldCustomerID;_OldCityName;Current City;_OldCountryName;Current Country;Address
11674; ΕΚΑΛΗ;Εκάλη;;Ελλάδα;ΝΥΜΦΩΝ 10
1786;(Βlock A), Εγκώμη, Λευκωσία;Λευκωσία;Κύπρος;Κύπρος;Διογένους 1, 2ος όροφος
2235;00154 Roma;Rome;Italy;Italy;Via G. Dandini 15
10490;0103 Oslo;Oslo;;Norway;Kongens gt. 8
1872;104 33 Αθήνα;Αθήνα;;Ελλάδα;Ηπείρου 22
4482;104 35 Αθήνα;Αθήνα;;Ελλάδα;Θεσπιέων 3-5
6767;104 42 Αθήνα;Αθήνα;;Ελλάδα;Ηρούς 25
4777;1065 Κύπρος;Λευκωσία;;Ελλάδα;Μυκηνών 1
11038;115 27;Αθήνα;;Ελλάδα;Λεωφ.Μεσογείων 2-4
9924;11523 ΑΘΗΝΑ;Αθήνα;;Ελλάδα;Λ.ΡΙΑΝΚΟΥΡ 78Α
12331;1202 Genf;Geneva;Switzerland;Switzerland;Campus Biotech, Batiment B1, Chemin des Mines 9
8534;13o χλμ. Θεσ/νικης-Μουδανιών;Θέρμη;Τα.Θ.60660;Ελλάδα;Κτίριο EuroTech
12369;1426, Λευκωσία;Λευκωσία;Κύπρος;Κύπρος;Λεωφ. Αγ. Ιλαρίωνος, περιοχή Σοπάζ
12634;14562 ΚΗΦΙΣΙΑ;Κηφισιά;;Ελλάδα;Λ.ΚΗΦΙΣΙΑΣ 186
5717;15000 Prague 5;Prague;Czech Republic;Czech Republic;Nad Zameckem 32,
12097;16400 ΚΟΡΩΠΙ;Κορωπί;;Ελλάδα;ΠΕΥΚΩΝ & ΠΕΙΣΙΣΤΡΑΤΟΥΣ - ΘΕΣΗ ΚΑΡΕΛΑ
13675;1644 Λευκωσία;Λευκωσία;Κύπρος;Κύπρος;Πατριάρχη Πέτρου Ζ 15
13752;17342 Αγ. Δημήτριος;Άγιος Δημήτριος;;Ελλάδα;Τρικάλλων 32
5153;176-72 Αθήνα;Αθήνα;;Ελλάδα;Λ. Συγγρού 246
12534;1800 Vilvoorde;Vilvoorde;Belgium;Belgium;Aarschotsestraat 87A
13634;1800 Vilvoorde;Vilvoorde;BELGIUM;Belgium;Luchthavenlaan 22
10641;19th Floor, Office 1903;Dubai;Un.ArabEmirates;United Arab Emirates;Al-Thuraya Tower 2, Dubai Media City
1069;2031 Στρόβολος, Λευκωσία,;Λευκωσία;Κύπρος;Κύπρος;Μεγάρων 5,
1069;2031 Στρόβολος, Λευκωσία,;Λευκωσία;Κύπρος;Κύπρος;Μεγάρων 5,
12705;2033 Strovolos Industrial Area;Λευκωσία;Cyprus;Κύπρος;Vitonos 4
4520;2035 Στρόβολος -Λευκωσία;Λευκωσία;Κύπρος;Κύπρος;Αθηναίου 9
12537;21027 Ispra (VA);Ispra;Italy;Italy;Via Fermi 2749 – TP 186
12525;2235 LATSIA, NICOSIA;Λευκωσία;CYPRUS;Κύπρος;ARC. KYPRIANOU 5
13499;2408 Engomi, Nicosia;Λευκωσία;Cyprus;Κύπρος;41-49 Ay. Nicolaou Street Nimeli Court, Block A, 3rd Floor
12839;3036 Limassol;Λεμεσός;Cyprus;Κύπρος;145-149 Chr. Hadjipavlou Str., Christiel Building, 3rd Floor
12677;3041 ΛΕΜΕΣΟΣ;Λεμεσός;ΚΥΠΡΟΣ;Κύπρος;ΕΙΡΗΝΗΣ 69
6353;3106 Limassol;Λεμεσός;Cyprus;Κύπρος;17Gr, Xenopoulou str.,
